NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.901,0.982,0.628,0.748,0.522,28.686,0.026,1.139,-2.544,0.032,0.46056
0.7,0.962,0.582,0.968,0.424,55.194,0.135,0.682,-1.759,0.018,1.25341
0.77,0.981,0.531,0.955,0.484,68.484,0.062,0.886,-2.131,0.027,0.87769
0.703,0.908,0.648,0.798,0.499,85.914,0.086,0.572,-0.198,0.049,2.83002
0.914,0.892,0.569,0.971,0.42,30.789,0.099,1.118,-1.631,0.034,1.38269
0.982,0.961,0.473,0.666,0.522,65.779,0.142,0.969,-2.327,0.011,0.67973
0.98,0.983,0.498,0.716,0.482,45.278,0.022,0.343,-1.768,0.015,1.24432
0.91,0.957,0.51,0.816,0.488,76.976,0.066,0.286,-0.473,0.02,2.55227
0.916,0.974,0.642,0.756,0.423,113.97,0.068,0.775,-1.643,0.012,1.37057
0.743,0.969,0.637,0.868,0.491,44.197,0.134,1.132,-2.833,0.021,0.16867
0.989,0.927,0.64,0.758,0.461,130.518,0.023,0.704,-2.133,0.046,0.87567
0.878,0.931,0.641,0.877,0.451,25.133,0.124,0.425,-2.265,0.044,0.74235
0.794,0.94,0.551,0.944,0.427,72.914,0.145,0.115,-2.167,0.043,0.84133
0.791,0.982,0.677,0.747,0.487,38.818,0.09,0.508,-2.565,0.018,0.43935
0.813,0.966,0.484,0.78,0.484,111.411,0.141,0.176,-1.802,0.045,1.20998
0.871,0.917,0.47,0.685,0.518,51.919,0.147,0.691,-1.056,0.017,1.96344
0.921,0.955,0.648,0.96,0.446,132.634,0.118,0.295,-0.373,0.037,2.65327
0.909,0.881,0.54,0.844,0.461,88.186,0.1,0.514,-2.845,0.017,0.15655
0.9,0.95,0.614,0.924,0.397,80.859,0.023,0.225,-0.825,0.026,2.19675
0.773,0.891,0.583,0.912,0.512,119.384,0.049,0.36,-2.346,0.016,0.66054
0.874,0.936,0.688,0.798,0.459,67.869,0.04,0.525,-1.827,0.002,1.18473
0.969,0.958,0.591,0.839,0.419,53.423,0.099,0.68,-2.38,0.042,0.6262
0.939,0.962,0.657,0.791,0.469,130.059,0.02,0.365,-1.63,0.004,1.3837
0.956,0.966,0.574,0.753,0.375,40.899,0.075,0.822,-0.638,0.013,2.38562
0.732,0.989,0.647,0.721,0.536,70.254,0.049,0.199,-1.837,0.045,1.17463
0.962,0.899,0.56,0.941,0.455,53.385,0.052,0.289,-1.314,0.004,1.70286
0.925,0.905,0.6,0.929,0.438,140.359,0.094,0.322,-2.168,0.016,0.84032
0.84,0.962,0.545,0.854,0.495,69.985,0.03,0.684,-2.932,0.04,0.06868
0.83,0.905,0.569,0.904,0.46,43.805,0.048,0.885,-2.76,0.03,0.2424
0.953,0.923,0.664,0.743,0.377,59.577,0.039,0.866,-0.706,0.019,2.31694
0.826,0.918,0.63,0.945,0.376,129.101,0.078,0.502,-1.905,0.036,1.10595
0.912,0.943,0.662,0.761,0.513,52.463,0.116,0.643,-1.917,0.014,1.09383
0.738,0.95,0.668,0.745,0.533,47.636,0.039,1.091,-1.504,0.025,1.51096
0.88,0.917,0.659,0.664,0.507,49.523,0.061,0.969,-2.595,0.034,0.40905
0.709,0.926,0.641,0.97,0.403,134.949,0.139,1.081,-0.328,0.049,2.69872
0.809,0.921,0.64,0.743,0.404,126.153,0.102,1.088,-1.012,0.017,2.00788
0.887,0.967,0.59,0.886,0.413,102.657,0.092,1.011,-2.823,0.005,0.17877
0.922,0.918,0.522,0.895,0.486,73.314,0.145,0.614,-2.161,0.037,0.84739
0.893,0.949,0.605,0.857,0.446,49.65,0.05,0.134,-1.974,0.009,1.03626
0.729,0.896,0.65,0.744,0.483,77.887,0.115,0.647,-0.841,0.022,2.18059
0.901,0.891,0.679,0.725,0.415,79.314,0.033,0.503,-0.652,0.034,2.37148
0.873,0.897,0.698,0.71,0.476,42.224,0.031,0.258,-2.536,0.013,0.46864
0.967,0.931,0.566,0.76,0.441,95.77,0.095,0.275,-0.378,0.011,2.64822
