NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.747,0.884,0.598,0.959,0.51,128.263,0.10504,0.953,-2.499,0.043,0.501
0.759,0.972,0.594,0.882,0.399,96.201,0.0909,0.163,-1.947,0.032,1.053
0.952,0.908,0.576,0.756,0.425,130.646,0.09494,0.464,-0.681,0.019,2.319
0.902,0.941,0.585,0.86,0.401,101.252,0.03535,0.103,-0.209,0.027,2.791
0.885,0.989,0.551,0.712,0.406,89.07,0.10605,0.219,-1.93,0.018,1.07
0.717,0.97,0.541,0.952,0.514,117.878,0.0404,0.804,-2.542,0.012,0.458
0.789,0.986,0.605,0.912,0.455,97.648,0.10201,0.874,-2.078,0.044,0.922
0.946,0.986,0.674,0.698,0.535,140.824,0.09696,0.379,-1.154,0.017,1.846
0.902,0.966,0.628,0.803,0.508,97.209,0.02424,0.275,-0.258,0.026,2.742
0.716,0.89,0.519,0.883,0.536,88.29,0.08585,0.643,-0.335,0.001,2.665
0.957,0.902,0.601,0.967,0.393,121.203,0.14847,0.511,-1.102,0.028,1.898
0.825,0.924,0.636,0.854,0.387,70.592,0.13433,0.984,-0.893,0.017,2.107
0.732,0.985,0.67,0.796,0.492,129.139,0.12322,0.708,-2.068,0.031,0.932
0.768,0.919,0.681,0.919,0.509,69.565,0.09797,0.265,-1.557,0.029,1.443
0.861,0.895,0.579,0.966,0.379,63.63,0.11817,0.468,-1.503,0.047,1.497
0.846,0.906,0.635,0.738,0.457,63.223,0.05151,1.106,-2.756,0.036,0.244
0.826,0.906,0.688,0.745,0.401,48.94,0.03131,0.24,-0.18,0.016,2.82
0.721,0.907,0.466,0.669,0.501,33.821,0.04141,0.493,-0.143,0.024,2.857
0.727,0.955,0.583,0.666,0.478,55.716,0.09494,0.165,-1.011,0.013,1.989
0.7,0.914,0.558,0.71,0.402,49.073,0.10403,0.557,-0.06,0.001,2.94
0.92,0.896,0.688,0.855,0.405,76.021,0.0909,0.698,-0.938,0.005,2.062
0.877,0.913,0.522,0.685,0.523,147.435,0.12019,0.515,-2.767,0.002,0.233
0.97,0.951,0.548,0.957,0.505,25.875,0.06262,0.531,-1.3,0.032,1.7
0.758,0.919,0.483,0.808,0.539,54.094,0.05656,0.806,-2.067,0.007,0.933
0.901,0.982,0.628,0.748,0.522,28.686,0.02626,1.139,-2.544,0.032,0.456
0.7,0.962,0.582,0.968,0.424,55.194,0.13635,0.682,-1.759,0.018,1.241
0.77,0.981,0.531,0.955,0.484,68.484,0.06262,0.886,-2.131,0.027,0.869
0.703,0.908,0.648,0.798,0.499,85.914,0.08686,0.572,-0.198,0.049,2.802
0.914,0.892,0.569,0.971,0.42,30.789,0.09999,1.118,-1.631,0.034,1.369
0.982,0.961,0.473,0.666,0.522,65.779,0.14342,0.969,-2.327,0.011,0.673
0.98,0.983,0.498,0.716,0.482,45.278,0.02222,0.343,-1.768,0.015,1.232
0.91,0.957,0.51,0.816,0.488,76.976,0.06666,0.286,-0.473,0.02,2.527
0.916,0.974,0.642,0.756,0.423,113.97,0.06868,0.775,-1.643,0.012,1.357
0.743,0.969,0.637,0.868,0.491,44.197,0.13534,1.132,-2.833,0.021,0.167
0.989,0.927,0.64,0.758,0.461,130.518,0.02323,0.704,-2.133,0.046,0.867
0.878,0.931,0.641,0.877,0.451,25.133,0.12524,0.425,-2.265,0.044,0.735
0.794,0.94,0.551,0.944,0.427,72.914,0.14645,0.115,-2.167,0.043,0.833
0.791,0.982,0.677,0.747,0.487,38.818,0.0909,0.508,-2.565,0.018,0.435
0.813,0.966,0.484,0.78,0.484,111.411,0.14241,0.176,-1.802,0.045,1.198
0.871,0.917,0.47,0.685,0.518,51.919,0.14847,0.691,-1.056,0.017,1.944
0.921,0.955,0.648,0.96,0.446,132.634,0.11918,0.295,-0.373,0.037,2.627
0.909,0.881,0.54,0.844,0.461,88.186,0.101,0.514,-2.845,0.017,0.155
0.9,0.95,0.614,0.924,0.397,80.859,0.02323,0.225,-0.825,0.026,2.175
0.773,0.891,0.583,0.912,0.512,119.384,0.04949,0.36,-2.346,0.016,0.654
0.874,0.936,0.688,0.798,0.459,67.869,0.0404,0.525,-1.827,0.002,1.173
0.969,0.958,0.591,0.839,0.419,53.423,0.09999,0.68,-2.38,0.042,0.62
0.939,0.962,0.657,0.791,0.469,130.059,0.0202,0.365,-1.63,0.004,1.37
0.956,0.966,0.574,0.753,0.375,40.899,0.07575,0.822,-0.638,0.013,2.362
0.732,0.989,0.647,0.721,0.536,70.254,0.04949,0.199,-1.837,0.045,1.163
0.962,0.899,0.56,0.941,0.455,53.385,0.05252,0.289,-1.314,0.004,1.686
0.925,0.905,0.6,0.929,0.438,140.359,0.09494,0.322,-2.168,0.016,0.832
0.84,0.962,0.545,0.854,0.495,69.985,0.0303,0.684,-2.932,0.04,0.068
0.83,0.905,0.569,0.904,0.46,43.805,0.04848,0.885,-2.76,0.03,0.24
0.953,0.923,0.664,0.743,0.377,59.577,0.03939,0.866,-0.706,0.019,2.294
0.826,0.918,0.63,0.945,0.376,129.101,0.07878,0.502,-1.905,0.036,1.095
0.912,0.943,0.662,0.761,0.513,52.463,0.11716,0.643,-1.917,0.014,1.083
0.738,0.95,0.668,0.745,0.533,47.636,0.03939,1.091,-1.504,0.025,1.496
0.88,0.917,0.659,0.664,0.507,49.523,0.06161,0.969,-2.595,0.034,0.405
0.709,0.926,0.641,0.97,0.403,134.949,0.14039,1.081,-0.328,0.049,2.672
0.809,0.921,0.64,0.743,0.404,126.153,0.10302,1.088,-1.012,0.017,1.988
0.887,0.967,0.59,0.886,0.413,102.657,0.09292,1.011,-2.823,0.005,0.177
0.922,0.918,0.522,0.895,0.486,73.314,0.14645,0.614,-2.161,0.037,0.839
0.893,0.949,0.605,0.857,0.446,49.65,0.0505,0.134,-1.974,0.009,1.026
0.729,0.896,0.65,0.744,0.483,77.887,0.11615,0.647,-0.841,0.022,2.159
0.901,0.891,0.679,0.725,0.415,79.314,0.03333,0.503,-0.652,0.034,2.348
0.873,0.897,0.698,0.71,0.476,42.224,0.03131,0.258,-2.536,0.013,0.464
0.967,0.931,0.566,0.76,0.441,95.77,0.09595,0.275,-0.378,0.011,2.622
