NEW_SNOW_ALB,SNOW_ALB_ACCUM_A,SNOW_ALB_ACCUM_B,SNOW_ALB_THAW_A,SNOW_ALB_THAW_B,NEW_SNOW_DENSITY,LIQUID_WATER_CAPACITY,LAI_ADJUSTMENT,MIN_RAIN_TEMP,Z0SNOW,MAX_SNOW_TEMP
0.909,0.881,0.54,0.844,0.461,88.186,0.1,0.514,-2.845,0.01717,0.155
0.9,0.95,0.614,0.924,0.397,80.859,0.023,0.225,-0.825,0.02626,2.175
0.773,0.891,0.583,0.912,0.512,119.384,0.049,0.36,-2.346,0.01616,0.654
0.874,0.936,0.688,0.798,0.459,67.869,0.04,0.525,-1.827,0.00202,1.173
0.969,0.958,0.591,0.839,0.419,53.423,0.099,0.68,-2.38,0.04242,0.62
0.939,0.962,0.657,0.791,0.469,130.059,0.02,0.365,-1.63,0.00404,1.37
0.956,0.966,0.574,0.753,0.375,40.899,0.075,0.822,-0.638,0.01313,2.362
0.732,0.989,0.647,0.721,0.536,70.254,0.049,0.199,-1.837,0.04545,1.163
0.962,0.899,0.56,0.941,0.455,53.385,0.052,0.289,-1.314,0.00404,1.686
0.925,0.905,0.6,0.929,0.438,140.359,0.094,0.322,-2.168,0.01616,0.832
0.84,0.962,0.545,0.854,0.495,69.985,0.03,0.684,-2.932,0.0404,0.068
0.83,0.905,0.569,0.904,0.46,43.805,0.048,0.885,-2.76,0.0303,0.24
0.953,0.923,0.664,0.743,0.377,59.577,0.039,0.866,-0.706,0.01919,2.294
0.826,0.918,0.63,0.945,0.376,129.101,0.078,0.502,-1.905,0.03636,1.095
0.912,0.943,0.662,0.761,0.513,52.463,0.116,0.643,-1.917,0.01414,1.083
0.738,0.95,0.668,0.745,0.533,47.636,0.039,1.091,-1.504,0.02525,1.496
0.88,0.917,0.659,0.664,0.507,49.523,0.061,0.969,-2.595,0.03434,0.405
0.709,0.926,0.641,0.97,0.403,134.949,0.139,1.081,-0.328,0.04949,2.672
0.809,0.921,0.64,0.743,0.404,126.153,0.102,1.088,-1.012,0.01717,1.988
0.887,0.967,0.59,0.886,0.413,102.657,0.092,1.011,-2.823,0.00505,0.177
0.922,0.918,0.522,0.895,0.486,73.314,0.145,0.614,-2.161,0.03737,0.839
0.893,0.949,0.605,0.857,0.446,49.65,0.05,0.134,-1.974,0.00909,1.026
0.729,0.896,0.65,0.744,0.483,77.887,0.115,0.647,-0.841,0.02222,2.159
0.901,0.891,0.679,0.725,0.415,79.314,0.033,0.503,-0.652,0.03434,2.348
0.873,0.897,0.698,0.71,0.476,42.224,0.031,0.258,-2.536,0.01313,0.464
0.967,0.931,0.566,0.76,0.441,95.77,0.095,0.275,-0.378,0.01111,2.622
